title,category,added,done,title_ko,keyword,way,quest_num,difficulty,period
Buy a house,life_milestone,4300,510,집을 사다,house,object,108,3,14
Have Children,life_milestone,4200,510,아이를 낳기,baby,object,109,3,14
Swim with sharks,life_milestone,3800,538,상어와 함께 수영하기,shark,object,110,3,14
Own my dream house,life_milestone,3800,33,내 꿈의 집을 소유하기,house,object,111,3,14
Volunteer abroad,life_milestone,3400,591,해외봉사,other,gps,112,3,14
Go on a Romantic Camping Trip,life_milestone,1800,46,로맨틱한 캠핑 여행,fire,object,113,2,7
Wear a snake around my neck,life_milestone,1500,851,내 목에 뱀 두르기,snake,object,114,2,5
Dye my hair,life_milestone,1500,646,내 머리를 염색해라.,hair,object,115,1,5
Climb a mountain,life_milestone,1500,311,산을 오르다.,mountain,object,116,1,3
Own a dog,life_milestone,1400,632,개를 기르다.,dog,object,117,2,7
Write a novel,life_milestone,1000,47,소설을 쓰다.,book,object,118,2,7
Hold a koala,life_milestone,917,119,코알라 보기,koala,object,119,2,7
Pass my driving test,life_milestone,911,429,운전면허 따기,운전면허증,text,120,2,14
Visit LA,life_milestone,909,321,LA 방문,la,gps,121,3,14
Attend an opera,life_milestone,898,157,오페라에 보기,opera,text,122,3,14
Start a Blog,life_milestone,807,343,블로그 시작,blog,text,123,1,2
Learn japanese,life_milestone,538,16,일본어를 배우기,japanese,text,124,2,7
Become a mother,life_milestone,509,113,엄마가 되기,baby,object,125,3,14
See a lunar eclipse,life_milestone,497,220,월식 보기,eclipse,object,126,3,14
Swim with the Dolphins,life_milestone,470,93,돌고래와 함께 수영하기,dolphin,object,127,3,14
Run a full Marathon,life_milestone,334,33,마라톤 풀 러닝,marathon,text,128,3,14
Learn how to ride a horse,life_milestone,277,74,말 타는 법 배우기,hose,object,129,2,7
Drive a Ferrari,life_milestone,259,19,페라리 운전,ferrai,text,130,3,7
Run with the bulls,life_milestone,255,14,황소들과 함께 달려라.,bull,object,131,3,7
Adopt a cat,life_milestone,209,87,고양이를 입양하다.,cat,object,132,2,7
Go to China,life_milestone,205,35,중국에 가다,china,object,133,3,14
Find out my blood type,life_milestone,203,61,내 혈액형을 찾아봐,"a,b,o,ab",text,134,1,2
LIve in New York,life_milestone,198,22,뉴욕에 살다,new york,gps,135,3,14
Own a Cat,life_milestone,159,59,고양이 소유,cat,object,136,2,7
Get my passport,life_milestone,156,51,여권 만들기,passport,text,137,1,7
Take An I.Q. Test,life_milestone,115,42,아이큐테스트하기,number,text,138,1,2
