title,category,added,done,title_ko,keyword,way,quest_num,difficulty,period
Learn to ride a motorcycle,new_skill,7100,779,오토바이 타는 법을 배우기,motocycle,object,174,2,7
Learn to Surf,new_skill,6800,800,서핑 배우기,surfing board,object,175,2,7
Learn how to play guitar,new_skill,3500,882,기타 치는 법 배우기,guitar,object,176,1,7
Learn sign language,new_skill,3200,211,수화 배우기,hand,object,177,2,7
Ride an Elephant in Thailand,new_skill,3000,578,태국에서 코끼리 타기,thailand,gps,178,3,14
Learn how to play the piano,new_skill,2500,602,피아노 치는 법을 배우기,piano,object,179,1,7
Visit Las Vegas,new_skill,1000,306,라스베이거스 방문,las vegas,gps,180,3,14
Make a YouTube video,new_skill,507,130,유튜브 동영상 만들기,youtubelink,text,181,2,7
Travel to London,new_skill,431,222,런던 여행,london,gps,182,3,14
Learn to speak french,new_skill,359,22,프랑스어를 배우기,french,text,183,2,7
Learn to play the Violin,new_skill,269,36,바이올린 연주 하기,vionlin,object,184,2,7
Try Fencing,new_skill,190,25,펜싱 하기,fencing,object,185,2,7
Learn how to Longboard,new_skill,143,24,롱보드 타는 방법 알아보기,longboard,object,186,2,7
