title,category,added,done,title_ko,keyword,way,quest_num,difficulty,period
Visit Japan,travel,6500,528,일본 가보기,japan,gps,2,3,14
Backpack Europe,travel,6500,513,유럽 배낭여행 가보기,europe,gps,3,3,14
Go on a road trip,travel,2200,461,로드트립 떠나기,road,gps,9,2,7
Go to Australia,travel,1400,174,호주 가보기,australia,gps,14,3,14
Visit the Pyramids,travel,3000,513,피라미드 방문,pyramids,object,98,3,14
Go to Spain,travel,1900,550,스페인으로 가다,spain,gps,99,3,14
Get my first car!,travel,1100,156,내 첫 차 사기,car,object,100,3,14
Visit Vatican city,travel,938,238,바티칸 시티 방문,vatican city,gps,101,3,14
Visit the 9-11 Memorial (Ground Zero),travel,782,332,9-11 기념관 방문(그라운드 제로),"9-11 memorial,ground zero",gps,102,3,14
Visit amsterdam,travel,778,579,암스테르담 방문,amsterdam,gps,103,3,14
Go to Venice,travel,544,15,베니스에 가다,venice,gps,104,3,14
"Visit Vienna, Austria",travel,241,584,오스트리아 비엔나 방문,vienna,gps,105,3,14
Make a bucket list,travel,204,50,버킷 목록 만들기,bucket list,text,106,1,5
Visit Istanbul,travel,164,35,이스탄불 방문,istanbul,gps,107,3,14
Swim The Great Barrier Reef,travel,6300,467,대보초 헤엄치기,great barrier reef,gps,203,3,14
See the Taj Mahal,travel,2500,257,타지마할 보기,taj mahal,object,204,3,14
Visit Singapore,travel,2100,468,싱가포르 방문,singapore,gps,205,3,14
Ride a Gondola in Venice,travel,2000,336,베네치아에서 곤돌라 타기,gondola,object,206,3,14
Visit Switzerland,travel,1900,625,스위스 방문,switzerland,gps,207,3,14
Visit Easter Island,travel,1100,14,이스터 섬 방문,easter island,gps,208,3,14
Visit New York City,travel,963,299,뉴욕 방문,new york city,gps,209,3,14
Go to South America,travel,909,69,남아메리카로 가기,south america,gps,210,3,14
Go to a black sand beach,travel,608,148,검은 모래사장으로 가기,pasir hitam,gps,211,3,14
Drink from a coconut,travel,604,243,코코넛을 마시기,coconut,object,212,2,5
Visit Austria,travel,462,194,오스트리아 방문,austria,gps,213,3,14
See the Mona Lisa,travel,410,175,모나리자 보기,mona lisa,object,214,3,14
Visit Norway,travel,382,57,노르웨이 방문,norway,gps,215,3,14
Visit Chicago,travel,257,76,시카고 방문,chicago,gps,216,3,14
Drive Down Route 66,travel,241,11,미국 66번 국도 차로 달려보기,route 66,gps,217,3,14
Visit South America,travel,213,19,남미 방문,south america,gps,218,3,14
Visit Israel,travel,193,19,이스라엘 방문,israel,gps,219,3,14
"Visit Rome, Italy",travel,187,50,이탈리아 로마 방문,rome,gps,220,3,14
See the Pope,travel,157,50,교황 만나기,pope,gps,221,3,14
Visit Seattle,travel,143,36,시애틀 방문,seattle,gps,222,3,14
