title,category,added,done,title_ko,keyword,way,quest_num
Send a message in a bottle,diy,9500,550,메세지 병에 담아 보내기,bottle,object,0
Ride in a hot air balloon,diy,7100,445,열기구를 타기,air balloon,object,1
Visit Japan,travel,6500,528,일본 가보기,japan,gps,2
Backpack Europe,travel,6500,513,유럽 배낭여행 가보기,europe,gps,3
Write a book,diy,4200,128,책 쓰기,book,object,4
Swim with sharks,diy,3800,538,상어와 함께 수영하기,shark,object,5
Volunteer abroad,diy,3400,591,해외봉사 해보기,other,gps,6
Sleep under the stars,diy,3000,662,별보며 자보기,star,object,7
Travel by myself,diy,2900,945,혼자 여행하기,alone,gps,8
Go on a road trip,travel,2200,461,로드트립 떠나기,road,gps,9
Learn Spanish,diy,2100,371,스페인어 배우기,spanish,text,10
Find a four leaf clover,diy,1800,806,네 잎 클로버를 찾기,four leaf clover,object,11
Learn to paint,diy,1700,303,그림 배우기,picture,object,12
Learn to Sew,diy,1600,361,바느질 배우기,sew,object,13
Go to Australia,travel,1400,174,호주 가보기,australia,gps,14
See a Shooting Star,diy,1300,668,별똥별 보기,shooting star,object,15
Take a cooking class,diy,1100,142,요리 배우기,knife,object,16
Write a novel,diy,1000,47,소설을 쓰기,book,object,17
Go to a shooting range,diy,987,296,사격장 가보기,gun,object,18
Learn Programming,diy,900,174,프로그래밍 학습해보기,int,text,19
Build my own mini library,diy,889,67,나만의 작은 도서관 만들기,"books,book",object,20
Watch the sunset,diy,873,537,일몰을 보기,sun,object,21
Grow an abundant herb garden,diy,871,26,나만의 정원 가꾸기,"leaf,flower,send",object,22
Start a Blog,diy,807,343,블로그 시작하기,blog,text,23
Solve a Rubix-Cube,diy,694,265,루빅스 큐브 해보기,"rubix,cube,rubix_cube",object,24
Bungee Jumping,entertainment,625,81,번지점프 해보기,sky,gps,25
Start my own business,diy,604,82,창업 해보기,사업자등록증,text,26
Donate my hair,diy,552,234,내 머리카락을 기부해보기,hair,object,27
Bake a cake,diy,550,389,케이크 만들기,cake,object,28
Get my drivers license,diy,513,137,운전면허증 받기,drive license,object,29
Make a YouTube video,diy,507,130,유튜브 동영상 만들기,youtube,text,30
Take a jumping picture,diy,477,217,점프 사진 찍기,"picture,person,people",object,31
Build a snowman,diy,428,170,눈사람을 만들다.,snowman,object,32
Buy my own car,diy,378,133,내 차를 사세요.,car,object,33
Hold an Owl,diy,324,64,올빼미 잡기,owl,object,34
Make a time capsule,diy,291,19,타임캡슐 만들기,capsule,object,35
Learn to use chopsticks,diy,233,108,젓가락 사용법 배우기,chopsticks,object,36
Get a college degree,diy,233,46,대학 학위를 따기,학위증,text,37
Try oysters,diy,217,121,굴을 먹어보세요.,oyster,object,38
Go to a Fancy Dress Party,diy,214,86,화려한 드레스 파티에 가기,dress,object,39
Fold 1000 paper cranes,diy,205,15,종이 학 1000개 접기,"paper,paper cranes",object,40
Climb a tree,diy,188,62,나무를 오르다.,tree,object,41
Learn to Crochet,diy,184,47,코바늘 뜨개질 배우기,crochet hook,object,42
Take a dance class,diy,184,36,춤 배우기,"person,people,mirror",object,43
Carve a pumpkin for halloween,diy,163,81,할로윈을 호박 조각하기,pumpkin,object,44
Own a Cat,diy,159,59,고양이 키우기,cat,object,45
Become an Early Riser,diy,145,22,7시에 일어나기,7:00 AM,text,46
Build A Computer,diy,138,58,내 컴퓨터 조립하기,"computer,monitor,mouse,keyboard",object,47
Learn to dive,diy,130,28,다이빙 배우기,"board,diving board",object,48
Ride on an Elephant,diy,122,25,코끼리 타기,elephant,object,49
Make tiramisu,diy,113,27,티라미수 만들기,"tiramisu,cake",object,50
Join a gym,diy,110,49,헬스장 등록하기,"barbell,dumbbell",object,51
Make a kite and fly it,diy,108,33,연을 만들어 날리기,kite,object,52
Dye my hair,diy,106,37,내 머리 염색하기,hair,object,53
Complete a scrapbook,diy,105,12,스크랩북 작성,book,object,54
Learn to Make Homemade Pasta,diy,27,10,집에서 파스타 만들기,pasta,object,55
Celebrate Holi in India,entertainment,3900,41,인도에서 홀리를 축하하다,india,gps,56
Ride a Unicycle,entertainment,1100,134,외발자전거 타기,unicycle,object,57
Go to disneyworld,entertainment,1000,320,디즈니월드에 가기,disneyworld,text,58
Drink wine in Italy,entertainment,786,238,이탈리아에서 와인을 마시기,italy,gps,59
Visit Versailles,entertainment,326,136,베르사유 가기,verailles,gps,60
See A Broadway Play,entertainment,296,802,브로드웨이 연극 보기,broadway,gps,61
Go to a nude beach,entertainment,226,30,누드비치 가보기,node beach,gps,62
Go to a jazz bar,entertainment,195,40,재즈바에 가다.,jazz bar,text,63
Eat gelato in Italy,entertainment,190,91,이탈리아에서 젤라또 먹기,gelato,gps,64
Make a kite and fly it,entertainment,108,33,연 날리기,kite,object,65
"Eat ""Chinese"" Food in China",food,300,121,"중국에서 ""중국"" 음식 먹기",china,gps,66
Take Pole Dancing Classes,health,4400,756,폴댄스 수업 듣기,pole dancing,text,67
Complete a half marathon,health,1800,290,하프 마라톤 완주,"complete,marathon",text,68
Take a Bellydancing Classes,health,1400,75,벨리댄스 수업 듣기,bellydancing,text,69
Walk on the Great Wall of China,hiking,9400,574,만리장성 걷기,great wall,gps,70
Trek the Inca Trail,hiking,3600,95,잉카산책로,inca trail,gps,71
Visit hawaii,hiking,3300,519,하와이 방문,hawaii,gps,72
Visit the Grand Canyon,hiking,2300,507,그랜드 캐년 방문,grand canyon,gps,73
Visit the Blue mountains in Australia!,hiking,2300,188,호주의 블루 마운틴을 방문하세요!,blue mountain,gps,74
Visit Machu Picchu,hiking,2100,122,마추픽추 방문,machu picchu,gps,75
Go to Antarctica,hiking,2000,20,남극에 가다,antarctica,gps,76
Own a dog,hiking,1400,632,개를 기르다.,dog,object,77
Visit San Fransico,hiking,1400,584,샌프란시스코 방문,san fransico,gps,78
Hike for at least 20km,hiking,1400,135,20km 이상 하이킹,20km,gps,79
See a Shooting Star,hiking,1300,668,별똥별 보기,shooting star,object,80
Visit Prague,hiking,1200,413,프라하 방문,prague,gps,81
Visit the Leaning Tower of Pisa,hiking,1200,332,피사의 사탑 방문,"paris,tower of pisa","gps,object",82
Visit Canada,hiking,1100,258,캐나다 방문,canada,gps,83
Hike/Climb Kilimanjaro,hiking,997,29,하이킹/클라이밍 킬리만자로,kiliminjaro,gps,84
"Visit Petra, Jordan",hiking,945,87,요르단 페트라 방문,"petra,jordan",gps,85
Visit LA,hiking,909,321,LA 방문,la,gps,86
Visit Croatia,hiking,809,223,크로아티아 방문,croatia,gps,87
Visit Morocco,hiking,779,153,모로코 방문,morocco,gps,88
Go horseback riding,hiking,668,218,승마하러 가다.,horse,object,89
Zipline,hiking,412,128,집라인,zipline,object,90
Travel to New Zealand,hiking,353,36,뉴질랜드 여행,new zealand,gps,91
Go canoeing,hiking,294,133,카누 타기,cano,object,92
Walk the Golden Gate bridge,hiking,237,53,금문교 걷기,golden gate bridge,object,93
Visit yellowstone,hiking,231,31,옐로스톤 방문,yellowstone,gps,94
Visit Yosemite National Park,hiking,216,40,요세미티 국립공원 방문,yosemite national park,gps,95
Put My Feet in the Ocean,hiking,196,201,바닷물에 발 담구기,"foot, feet",object,96
Travel to Iceland,hiking,186,15,아이슬란드 여행,iceland,object,97
Visit the Pyramids,travel,3000,513,피라미드 방문,pyramids,object,98
Go to Spain,travel,1900,550,스페인으로 가다,spain,gps,99
Get my first car!,travel,1100,156,내 첫 차 사기,car,object,100
Visit Vatican city,travel,938,238,바티칸 시티 방문,vatican city,gps,101
